time,value
00:00:01,63
00:00:03,62
00:00:05,63
00:00:07,62
00:00:10,62
00:00:13,62
00:00:16,62
00:00:17,63
00:00:20,63
00:00:23,63
00:00:25,62
00:00:28,62
00:00:31,62
00:00:34,63
00:00:37,64
00:00:39,63
00:00:40,62
00:00:43,62
00:00:44,61
00:00:47,61
00:00:48,62
00:00:51,62
00:00:54,62
00:00:57,62
00:01:00,61
00:01:03,61
00:01:04,62
00:01:07,62
00:01:10,62
00:01:13,62
00:01:16,62
00:01:19,62
00:01:21,61
00:01:23,60
00:01:26,60
00:01:28,61
00:01:31,61
00:01:34,62
00:01:37,62
00:01:38,64
00:01:41,64
00:01:44,64
00:01:47,64
00:01:50,63
00:01:52,62
00:01:55,62
00:01:58,62
00:02:01,62
00:02:04,62
00:02:07,62
00:02:09,61
00:02:12,61
00:02:15,61
00:02:16,61
00:02:18,62
00:02:21,62
00:02:24,62
00:02:27,62
00:02:30,62
00:02:33,62
00:02:34,63
00:02:36,62
00:02:39,62
00:02:42,62
00:02:45,62
00:02:48,62
00:02:51,62
00:02:54,62
00:02:57,62
00:03:00,62
00:03:01,61
00:03:03,60
00:03:06,60
00:03:09,60
00:03:12,60
00:03:14,59
00:03:16,60
00:03:18,59
00:03:21,59
00:03:22,58
00:03:24,58
00:03:27,58
00:03:30,58
00:03:31,60
00:03:34,60
00:03:35,59
00:03:38,59
00:03:39,58
00:03:42,58
00:03:45,58
00:03:48,58
00:03:51,58
00:03:54,58
00:03:56,59
00:03:59,59
00:04:00,60
00:04:03,60
00:04:06,60
00:04:08,61
00:04:10,63
00:04:12,62
00:04:15,62
00:04:18,61
00:04:21,61
00:04:22,62
00:04:25,62
00:04:28,62
00:04:30,62
00:04:33,62
00:04:35,61
00:04:38,61
00:04:39,60
00:04:42,60
00:04:45,60
00:04:47,59
00:04:50,59
00:04:53,59
00:04:56,59
00:04:58,58
00:05:01,58
00:05:04,59
00:05:07,59
00:05:08,58
00:05:10,59
00:05:12,60
00:05:15,60
00:05:18,60
00:05:19,59
00:05:22,59
00:05:23,60
00:05:26,60
00:05:29,60
00:05:32,60
00:05:35,60
00:05:37,60
00:05:40,60
00:05:43,59
00:05:46,58
00:05:49,58
00:05:52,58
00:05:55,58
00:05:56,57
00:05:58,58
00:06:01,58
00:06:04,58
00:06:06,57
00:06:09,58
00:06:12,58
00:06:15,58
00:06:18,58
00:06:21,58
00:06:24,58
00:06:27,58
00:06:30,58
00:06:33,58
00:06:36,58
00:06:39,58
00:06:42,58
00:06:45,58
00:06:48,58
00:06:51,58
00:06:52,59
00:06:54,60
00:06:57,60
00:07:00,60
00:07:01,58
00:07:04,58
00:07:07,58
00:07:09,57
00:07:12,57
00:07:15,57
00:07:17,58
00:07:20,58
00:07:23,58
00:07:26,59
00:07:29,59
00:07:30,60
00:07:33,60
00:07:36,60
00:07:39,60
00:07:42,60
00:07:45,59
00:07:47,58
00:07:50,58
00:07:53,58
00:07:56,58
00:07:57,56
00:08:00,56
00:08:01,55
00:08:03,54
00:08:06,54
00:08:08,55
00:08:10,56
00:08:13,56
00:08:16,56
00:08:19,56
00:08:22,56
00:08:24,58
00:08:27,58
00:08:30,58
00:08:31,57
00:08:34,57
00:08:37,57
00:08:40,57
00:08:41,58
00:08:44,58
00:08:47,58
00:08:50,58
00:08:53,58
00:08:55,59
00:08:58,60
00:09:01,60
00:09:04,60
00:09:07,60
00:09:08,59
00:09:10,58
00:09:13,58
00:09:16,58
00:09:19,58
00:09:21,57
00:09:24,57
00:09:27,56
00:09:30,56
00:09:33,56
00:09:36,56
00:09:37,57
00:09:39,58
00:09:42,58
00:09:45,58
00:09:48,58
00:09:51,58
00:09:54,58
00:09:57,58
00:09:58,59
00:10:01,59
00:10:02,60
00:10:05,60
00:10:08,60
00:10:11,60
00:10:13,59
00:10:16,59
00:10:19,58
00:10:21,58
00:10:24,58
00:10:25,59
00:10:27,58
00:10:30,58
00:10:33,58
00:10:36,58
00:10:39,58
00:10:42,58
00:10:45,58
00:10:46,59
00:10:48,61
00:10:50,64
00:10:52,68
00:10:54,72
00:10:55,84
00:10:57,89
00:10:59,93
00:11:01,93
00:11:03,89
00:11:05,80
00:11:07,75
00:11:09,71
00:11:11,69
00:11:14,69
00:11:15,68
00:11:17,67
00:11:19,66
00:11:20,65
00:11:22,63
00:11:25,63
00:11:26,62
00:11:29,62
00:11:30,60
