spo2,minute
98.1,2023-11-27T00:03:33
97.5,2023-11-27T00:04:33
97.0,2023-11-27T00:05:33
96.8,2023-11-27T00:06:33
96.6,2023-11-27T00:07:33
96.3,2023-11-27T00:08:33
96.1,2023-11-27T00:09:33
96.0,2023-11-27T00:10:33
96.0,2023-11-27T00:11:33
95.7,2023-11-27T00:12:33
95.7,2023-11-27T00:13:33
95.7,2023-11-27T00:14:33
95.7,2023-11-27T00:15:33
95.7,2023-11-27T00:16:33
96.0,2023-11-27T00:17:33
96.1,2023-11-27T00:18:33
96.1,2023-11-27T00:19:33
96.1,2023-11-27T00:20:33
96.2,2023-11-27T00:21:33
96.1,2023-11-27T00:22:33
96.1,2023-11-27T00:23:33
95.9,2023-11-27T00:24:33
95.9,2023-11-27T00:25:33
95.8,2023-11-27T00:26:33
95.8,2023-11-27T00:27:33
95.8,2023-11-27T00:28:33
95.7,2023-11-27T00:29:33
96.0,2023-11-27T00:31:33
96.8,2023-11-27T00:32:33
97.4,2023-11-27T00:33:33
97.7,2023-11-27T00:34:33
97.9,2023-11-27T00:35:33
97.9,2023-11-27T00:36:33
98.0,2023-11-27T00:37:33
98.2,2023-11-27T00:38:33
98.3,2023-11-27T00:39:33
98.4,2023-11-27T00:40:33
98.5,2023-11-27T00:41:33
98.7,2023-11-27T00:42:33
98.7,2023-11-27T00:43:33
98.4,2023-11-27T00:44:33
98.1,2023-11-27T00:45:33
97.8,2023-11-27T00:46:33
97.6,2023-11-27T00:47:33
97.6,2023-11-27T00:48:33
97.7,2023-11-27T00:49:33
97.5,2023-11-27T00:50:33
97.3,2023-11-27T00:51:33
97.2,2023-11-27T00:52:33
97.3,2023-11-27T00:56:33
97.4,2023-11-27T00:57:33
97.6,2023-11-27T00:58:33
97.9,2023-11-27T00:59:33
98.0,2023-11-27T01:00:33
98.2,2023-11-27T01:01:33
98.3,2023-11-27T01:02:33
98.5,2023-11-27T01:03:33
98.5,2023-11-27T01:04:33
98.6,2023-11-27T01:05:33
98.5,2023-11-27T01:06:33
98.7,2023-11-27T01:07:33
98.7,2023-11-27T01:08:33
98.9,2023-11-27T01:09:33
98.8,2023-11-27T01:10:33
99.1,2023-11-27T01:11:33
99.0,2023-11-27T01:12:33
99.0,2023-11-27T01:13:33
98.9,2023-11-27T01:14:33
99.1,2023-11-27T01:15:33
99.1,2023-11-27T01:16:33
99.6,2023-11-27T01:17:33
99.7,2023-11-27T01:18:33
99.9,2023-11-27T01:19:33
100.0,2023-11-27T01:20:33
99.9,2023-11-27T01:21:33
100.0,2023-11-27T01:22:33
99.8,2023-11-27T01:23:33
99.9,2023-11-27T01:24:33
100.0,2023-11-27T01:25:33
100.0,2023-11-27T01:26:33
100.0,2023-11-27T01:27:33
100.0,2023-11-27T01:28:33
100.0,2023-11-27T01:29:33
100.0,2023-11-27T01:30:33
100.0,2023-11-27T01:31:33
100.0,2023-11-27T01:32:33
100.0,2023-11-27T01:33:33
100.0,2023-11-27T01:34:33
100.0,2023-11-27T01:35:33
100.0,2023-11-27T01:36:33
99.5,2023-11-27T01:37:33
97.9,2023-11-27T01:38:33
97.7,2023-11-27T01:39:33
97.0,2023-11-27T01:40:33
97.1,2023-11-27T01:41:33
97.2,2023-11-27T01:44:33
97.7,2023-11-27T01:45:33
97.9,2023-11-27T01:46:33
98.2,2023-11-27T01:47:33
98.4,2023-11-27T01:48:33
98.5,2023-11-27T01:49:33
98.7,2023-11-27T01:50:33
98.1,2023-11-27T01:53:33
98.4,2023-11-27T01:55:33
98.5,2023-11-27T01:56:33
98.7,2023-11-27T01:57:33
99.0,2023-11-27T01:58:33
99.0,2023-11-27T01:59:33
98.7,2023-11-27T02:01:33
98.5,2023-11-27T02:02:33
98.5,2023-11-27T02:05:33
98.7,2023-11-27T02:06:33
98.6,2023-11-27T02:08:33
98.7,2023-11-27T02:09:33
98.0,2023-11-27T02:10:33
98.0,2023-11-27T02:11:33
98.1,2023-11-27T02:12:33
98.3,2023-11-27T02:13:33
98.4,2023-11-27T02:14:33
98.3,2023-11-27T02:15:33
98.2,2023-11-27T02:16:33
98.2,2023-11-27T02:17:33
98.1,2023-11-27T02:18:33
98.1,2023-11-27T02:19:33
98.2,2023-11-27T02:20:33
98.1,2023-11-27T02:21:33
98.1,2023-11-27T02:22:33
98.0,2023-11-27T02:23:33
97.9,2023-11-27T02:24:33
97.9,2023-11-27T02:25:33
97.8,2023-11-27T02:26:33
97.9,2023-11-27T02:27:33
97.8,2023-11-27T02:28:33
97.7,2023-11-27T02:29:33
97.8,2023-11-27T02:30:33
97.8,2023-11-27T02:31:33
97.8,2023-11-27T02:32:33
98.2,2023-11-27T02:34:33
99.3,2023-11-27T02:43:33
99.5,2023-11-27T02:44:33
99.7,2023-11-27T02:45:33
99.7,2023-11-27T02:46:33
99.8,2023-11-27T02:47:33
99.9,2023-11-27T02:48:33
100.0,2023-11-27T02:49:33
100.0,2023-11-27T02:50:33
100.0,2023-11-27T02:51:33
95.8,2023-11-27T03:09:33
96.7,2023-11-27T03:10:33
97.2,2023-11-27T03:11:33
97.5,2023-11-27T03:12:33
97.7,2023-11-27T03:13:33
97.8,2023-11-27T03:14:33
97.9,2023-11-27T03:15:33
