spo2,minute
97.7,2023-12-03T14:14:03
97.6,2023-12-03T14:15:03
97.5,2023-12-03T14:16:03
97.6,2023-12-03T14:17:03
97.7,2023-12-03T14:18:03
97.7,2023-12-03T14:19:03
97.7,2023-12-03T14:20:03
97.8,2023-12-03T14:21:03
97.8,2023-12-03T14:22:03
97.9,2023-12-03T14:23:03
97.9,2023-12-03T14:24:03
97.9,2023-12-03T14:25:03
98.0,2023-12-03T14:26:03
98.0,2023-12-03T14:27:03
97.8,2023-12-03T14:28:03
97.9,2023-12-03T14:29:03
98.1,2023-12-03T14:30:03
98.2,2023-12-03T14:31:03
98.0,2023-12-03T14:32:03
98.1,2023-12-03T14:33:03
98.1,2023-12-03T14:34:03
98.0,2023-12-03T14:35:03
98.1,2023-12-03T14:36:03
98.0,2023-12-03T14:37:03
97.9,2023-12-03T14:38:03
97.9,2023-12-03T14:39:03
98.0,2023-12-03T14:40:03
97.9,2023-12-03T14:41:03
97.9,2023-12-03T14:42:03
97.7,2023-12-03T14:43:03
97.8,2023-12-03T14:44:03
97.9,2023-12-03T14:45:03
97.8,2023-12-03T14:46:03
97.9,2023-12-03T14:47:03
97.8,2023-12-03T14:48:03
97.8,2023-12-03T14:49:03
97.8,2023-12-03T14:50:03
97.9,2023-12-03T14:51:03
97.8,2023-12-03T14:52:03
97.8,2023-12-03T14:53:03
97.9,2023-12-03T14:54:03
97.1,2023-12-03T15:05:03
97.3,2023-12-03T15:06:03
97.6,2023-12-03T15:07:03
97.6,2023-12-03T15:08:03
97.7,2023-12-03T15:09:03
97.8,2023-12-03T15:10:03
97.8,2023-12-03T15:11:03
97.2,2023-12-03T15:13:03
96.4,2023-12-03T15:14:03
95.8,2023-12-03T15:15:03
95.5,2023-12-03T15:16:03
95.5,2023-12-03T15:17:03
95.4,2023-12-03T15:18:03
95.4,2023-12-03T15:19:03
95.6,2023-12-03T15:20:03
95.5,2023-12-03T15:21:03
95.5,2023-12-03T15:22:03
95.4,2023-12-03T15:23:03
95.3,2023-12-03T15:24:03
95.5,2023-12-03T15:25:03
95.3,2023-12-03T15:26:03
95.3,2023-12-03T15:27:03
95.2,2023-12-03T15:28:03
95.2,2023-12-03T15:29:03
95.1,2023-12-03T15:30:03
94.8,2023-12-03T15:32:03
94.4,2023-12-03T15:33:03
94.0,2023-12-03T15:34:03
93.9,2023-12-03T15:35:03
93.7,2023-12-03T15:36:03
93.7,2023-12-03T15:37:03
93.6,2023-12-03T15:38:03
93.6,2023-12-03T15:39:03
93.7,2023-12-03T15:40:03
94.0,2023-12-03T15:42:03
94.0,2023-12-03T15:43:03
94.2,2023-12-03T15:44:03
94.6,2023-12-03T15:45:03
94.9,2023-12-03T15:46:03
95.2,2023-12-03T15:47:03
95.1,2023-12-03T15:48:03
95.2,2023-12-03T15:49:03
95.3,2023-12-03T15:50:03
95.4,2023-12-03T15:51:03
95.4,2023-12-03T15:52:03
95.4,2023-12-03T15:53:03
95.3,2023-12-03T15:54:03
95.1,2023-12-03T15:55:03
