spo2,minute
95.3,2023-11-06T00:01:33
96.3,2023-11-06T00:02:33
97.5,2023-11-06T00:04:33
97.8,2023-11-06T00:05:33
98.0,2023-11-06T00:06:33
97.9,2023-11-06T00:07:33
97.8,2023-11-06T00:08:33
97.8,2023-11-06T00:09:33
97.9,2023-11-06T00:10:33
97.8,2023-11-06T00:12:33
97.6,2023-11-06T00:13:33
97.5,2023-11-06T00:14:33
97.5,2023-11-06T00:15:33
97.5,2023-11-06T00:16:33
97.5,2023-11-06T00:17:33
97.6,2023-11-06T00:18:33
97.6,2023-11-06T00:19:33
97.8,2023-11-06T00:20:33
97.5,2023-11-06T00:21:33
97.4,2023-11-06T00:22:33
97.3,2023-11-06T00:23:33
97.2,2023-11-06T00:24:33
97.3,2023-11-06T00:25:33
97.3,2023-11-06T00:26:33
97.4,2023-11-06T00:27:33
97.4,2023-11-06T00:28:33
97.5,2023-11-06T00:29:33
97.4,2023-11-06T00:30:33
97.4,2023-11-06T00:31:33
97.5,2023-11-06T00:32:33
97.5,2023-11-06T00:33:33
97.5,2023-11-06T00:34:33
97.2,2023-11-06T00:35:33
96.8,2023-11-06T00:37:33
95.9,2023-11-06T00:38:33
94.5,2023-11-06T00:39:33
93.2,2023-11-06T00:40:33
93.7,2023-11-06T00:41:33
93.3,2023-11-06T00:42:33
92.6,2023-11-06T00:43:33
92.2,2023-11-06T00:44:33
91.1,2023-11-06T00:45:33
90.2,2023-11-06T00:46:33
89.7,2023-11-06T00:47:33
89.2,2023-11-06T00:48:33
89.6,2023-11-06T00:49:33
92.2,2023-11-06T01:08:33
91.4,2023-11-06T01:09:33
91.5,2023-11-06T01:10:33
92.3,2023-11-06T01:12:33
94.2,2023-11-06T01:13:33
95.1,2023-11-06T01:14:33
96.0,2023-11-06T01:15:33
96.0,2023-11-06T01:16:33
96.2,2023-11-06T01:17:33
96.6,2023-11-06T01:18:33
97.1,2023-11-06T01:19:33
97.4,2023-11-06T01:20:33
97.7,2023-11-06T01:21:33
98.0,2023-11-06T01:22:33
97.8,2023-11-06T01:23:33
98.1,2023-11-06T01:24:33
98.4,2023-11-06T01:25:33
98.6,2023-11-06T01:26:33
99.2,2023-11-06T01:27:33
98.9,2023-11-06T01:28:33
98.8,2023-11-06T01:29:33
98.7,2023-11-06T01:31:33
98.6,2023-11-06T01:32:33
98.5,2023-11-06T01:33:33
97.9,2023-11-06T01:35:33
96.6,2023-11-06T01:36:33
96.6,2023-11-06T01:38:33
97.6,2023-11-06T01:39:33
97.9,2023-11-06T01:40:33
98.3,2023-11-06T01:41:33
98.4,2023-11-06T01:42:33
98.6,2023-11-06T01:43:33
98.7,2023-11-06T01:44:33
98.7,2023-11-06T01:45:33
99.0,2023-11-06T01:46:33
99.0,2023-11-06T01:47:33
98.9,2023-11-06T01:48:33
99.0,2023-11-06T01:49:33
99.1,2023-11-06T01:50:33
99.0,2023-11-06T01:51:33
98.8,2023-11-06T01:52:33
98.9,2023-11-06T01:53:33
99.0,2023-11-06T01:54:33
99.1,2023-11-06T01:55:33
99.3,2023-11-06T01:56:33
99.3,2023-11-06T01:57:33
99.2,2023-11-06T01:58:33
99.3,2023-11-06T01:59:33
99.2,2023-11-06T02:00:33
99.3,2023-11-06T02:01:33
98.8,2023-11-06T02:02:33
99.1,2023-11-06T02:03:33
94.3,2023-11-06T02:29:33
95.5,2023-11-06T02:30:33
96.3,2023-11-06T02:31:33
96.6,2023-11-06T02:32:33
