spo2,minute
96.4,2023-12-15T00:30:33
97.7,2023-12-15T00:31:33
97.8,2023-12-15T00:32:33
97.8,2023-12-15T00:34:33
96.7,2023-12-15T00:37:33
96.0,2023-12-15T00:38:33
96.8,2023-12-15T00:41:33
99.0,2023-12-15T00:42:33
99.8,2023-12-15T00:43:33
100.0,2023-12-15T00:44:33
98.7,2023-12-15T00:46:33
92.6,2023-12-15T01:22:33
93.1,2023-12-15T01:23:33
92.9,2023-12-15T01:24:33
93.1,2023-12-15T01:25:33
92.9,2023-12-15T01:26:33
93.4,2023-12-15T01:27:33
93.2,2023-12-15T01:28:33
93.0,2023-12-15T01:29:33
92.3,2023-12-15T01:30:33
96.1,2023-12-15T03:01:33
96.0,2023-12-15T03:02:33
96.3,2023-12-15T03:03:33
96.7,2023-12-15T03:04:33
96.9,2023-12-15T03:05:33
97.2,2023-12-15T03:06:33
97.4,2023-12-15T03:07:33
97.3,2023-12-15T03:08:33
97.3,2023-12-15T03:09:33
97.0,2023-12-15T03:10:33
96.7,2023-12-15T03:11:33
97.2,2023-12-15T03:12:33
97.1,2023-12-15T03:13:33
97.0,2023-12-15T03:14:33
96.7,2023-12-15T03:15:33
96.8,2023-12-15T03:16:33
97.5,2023-12-15T03:25:33
97.5,2023-12-15T03:26:33
97.6,2023-12-15T03:27:33
97.6,2023-12-15T03:28:33
97.5,2023-12-15T03:29:33
98.0,2023-12-15T03:31:33
94.3,2023-12-15T03:55:33
94.8,2023-12-15T03:56:33
95.2,2023-12-15T03:57:33
95.5,2023-12-15T03:58:33
95.5,2023-12-15T03:59:33
94.5,2023-12-15T04:01:33
93.7,2023-12-15T04:02:33
94.5,2023-12-15T04:03:33
94.9,2023-12-15T04:04:33
95.4,2023-12-15T04:05:33
95.5,2023-12-15T04:06:33
96.0,2023-12-15T04:07:33
95.8,2023-12-15T04:08:33
95.7,2023-12-15T04:09:33
96.0,2023-12-15T04:10:33
96.1,2023-12-15T04:11:33
95.7,2023-12-15T04:12:33
95.3,2023-12-15T04:13:33
95.5,2023-12-15T04:14:33
96.1,2023-12-15T04:16:33
96.2,2023-12-15T04:19:33
96.7,2023-12-15T04:20:33
97.3,2023-12-15T04:21:33
98.0,2023-12-15T04:24:33
98.1,2023-12-15T04:26:33
98.0,2023-12-15T04:27:33
97.7,2023-12-15T04:28:33
97.3,2023-12-15T04:29:33
97.4,2023-12-15T04:30:33
97.4,2023-12-15T04:31:33
97.5,2023-12-15T04:32:33
97.6,2023-12-15T04:33:33
97.6,2023-12-15T04:34:33
97.7,2023-12-15T04:35:33
97.9,2023-12-15T04:36:33
97.9,2023-12-15T04:37:33
97.9,2023-12-15T04:38:33
98.0,2023-12-15T04:39:33
98.0,2023-12-15T04:40:33
98.1,2023-12-15T04:41:33
98.1,2023-12-15T04:42:33
97.8,2023-12-15T04:45:33
97.6,2023-12-15T04:46:33
97.5,2023-12-15T04:47:33
97.4,2023-12-15T04:48:33
97.4,2023-12-15T04:49:33
97.3,2023-12-15T04:50:33
97.3,2023-12-15T04:51:33
97.1,2023-12-15T04:52:33
97.1,2023-12-15T04:54:33
96.5,2023-12-15T04:55:33
95.4,2023-12-15T04:56:33
94.2,2023-12-15T04:57:33
94.8,2023-12-15T04:58:33
94.6,2023-12-15T04:59:33
96.4,2023-12-15T05:08:33
96.5,2023-12-15T05:09:33
96.6,2023-12-15T05:10:33
96.5,2023-12-15T05:11:33
96.7,2023-12-15T05:13:33
97.1,2023-12-15T05:14:33
97.3,2023-12-15T05:15:33
97.4,2023-12-15T05:16:33
97.5,2023-12-15T05:17:33
96.8,2023-12-15T05:19:33
96.2,2023-12-15T05:20:33
96.2,2023-12-15T05:21:33
97.0,2023-12-15T05:22:33
97.7,2023-12-15T05:23:33
