spo2,minute
97.6,2023-11-18T15:26:33
95.1,2023-11-18T15:27:33
93.8,2023-11-18T15:28:33
91.8,2023-11-18T15:29:33
91.4,2023-11-18T15:30:33
91.2,2023-11-18T15:31:33
90.8,2023-11-18T15:32:33
90.2,2023-11-18T15:33:33
89.9,2023-11-18T15:34:33
91.1,2023-11-18T15:35:33
90.0,2023-11-18T15:36:33
90.7,2023-11-18T15:37:33
90.2,2023-11-18T15:38:33
90.1,2023-11-18T15:39:33
90.3,2023-11-18T15:40:33
90.1,2023-11-18T15:41:33
90.0,2023-11-18T15:42:33
89.9,2023-11-18T15:43:33
90.0,2023-11-18T15:44:33
90.1,2023-11-18T15:45:33
90.1,2023-11-18T15:46:33
89.8,2023-11-18T15:47:33
90.1,2023-11-18T15:48:33
90.3,2023-11-18T15:49:33
90.2,2023-11-18T15:50:33
90.3,2023-11-18T15:51:33
90.0,2023-11-18T15:52:33
90.2,2023-11-18T15:53:33
89.7,2023-11-18T15:54:33
90.0,2023-11-18T15:55:33
89.9,2023-11-18T15:56:33
89.9,2023-11-18T15:57:33
93.8,2023-11-18T16:05:33
93.9,2023-11-18T16:06:33
94.1,2023-11-18T16:07:33
94.6,2023-11-18T16:08:33
94.6,2023-11-18T16:09:33
94.6,2023-11-18T16:10:33
95.7,2023-11-18T16:11:33
96.2,2023-11-18T16:12:33
96.8,2023-11-18T16:13:33
97.2,2023-11-18T16:14:33
97.2,2023-11-18T16:15:33
96.2,2023-11-18T16:16:33
95.3,2023-11-18T16:17:33
95.0,2023-11-18T16:18:33
95.1,2023-11-18T16:19:33
95.7,2023-11-18T16:20:33
94.4,2023-11-18T16:21:33
94.9,2023-11-18T16:22:33
94.6,2023-11-18T16:23:33
95.3,2023-11-18T16:24:33
96.1,2023-11-18T16:25:33
96.6,2023-11-18T16:26:33
97.2,2023-11-18T16:27:33
97.1,2023-11-18T16:28:33
96.9,2023-11-18T16:29:33
96.6,2023-11-18T16:30:33
96.9,2023-11-18T16:31:33
97.3,2023-11-18T16:32:33
97.2,2023-11-18T16:33:33
96.8,2023-11-18T16:34:33
96.8,2023-11-18T16:35:33
96.0,2023-11-18T16:36:33
97.3,2023-11-18T16:37:33
97.1,2023-11-18T16:38:33
97.5,2023-11-18T16:39:33
97.7,2023-11-18T16:40:33
97.2,2023-11-18T16:41:33
96.8,2023-11-18T16:42:33
96.9,2023-11-18T16:43:33
96.1,2023-11-18T16:44:33
95.4,2023-11-18T16:45:33
95.3,2023-11-18T16:46:33
95.4,2023-11-18T16:47:33
95.5,2023-11-18T16:48:33
95.9,2023-11-18T16:49:33
96.0,2023-11-18T16:50:33
96.4,2023-11-18T16:52:33
96.3,2023-11-18T16:53:33
97.0,2023-11-18T16:54:33
97.2,2023-11-18T16:55:33
94.1,2023-11-18T17:24:33
94.6,2023-11-18T17:25:33
95.2,2023-11-18T17:26:33
95.0,2023-11-18T17:27:33
94.4,2023-11-18T17:28:33
94.6,2023-11-18T17:29:33
94.3,2023-11-18T17:30:33
94.9,2023-11-18T17:31:33
94.7,2023-11-18T17:32:33
95.0,2023-11-18T17:33:33
94.7,2023-11-18T17:34:33
94.9,2023-11-18T17:35:33
94.9,2023-11-18T17:36:33
95.4,2023-11-18T17:37:33
95.4,2023-11-18T17:39:33
96.2,2023-11-18T17:41:33
97.1,2023-11-18T17:42:33
97.4,2023-11-18T17:43:33
97.1,2023-11-18T17:44:33
97.1,2023-11-18T17:45:33
96.3,2023-11-18T17:47:33
94.9,2023-11-18T17:48:33
94.5,2023-11-18T17:49:33
93.2,2023-11-18T17:50:33
92.4,2023-11-18T17:51:33
91.1,2023-11-18T17:52:33
91.2,2023-11-18T17:53:33
92.8,2023-11-18T17:54:33
92.6,2023-11-18T17:55:33
92.8,2023-11-18T17:56:33
93.7,2023-11-18T17:57:33
93.4,2023-11-18T17:58:33
94.0,2023-11-18T17:59:33
94.1,2023-11-18T18:00:33
93.9,2023-11-18T18:01:33
94.3,2023-11-18T18:04:33
94.4,2023-11-18T18:05:33
94.0,2023-11-18T18:06:33
94.0,2023-11-18T18:07:33
93.6,2023-11-18T18:08:33
93.6,2023-11-18T18:09:33
93.2,2023-11-18T18:10:33
93.1,2023-11-18T18:11:33
93.4,2023-11-18T18:12:33
93.5,2023-11-18T18:13:33
93.9,2023-11-18T18:14:33
95.0,2023-11-18T18:15:33
95.1,2023-11-18T18:16:33
94.1,2023-11-18T18:17:33
95.1,2023-11-18T18:18:33
94.8,2023-11-18T18:19:33
95.5,2023-11-18T18:20:33
94.8,2023-11-18T18:21:33
94.8,2023-11-18T18:22:33
94.2,2023-11-18T18:23:33
95.7,2023-11-18T18:24:33
95.6,2023-11-18T18:25:33
95.4,2023-11-18T18:26:33
96.4,2023-11-18T18:27:33
93.6,2023-11-18T18:32:33
92.1,2023-11-18T18:33:33
91.2,2023-11-18T18:34:33
90.3,2023-11-18T18:35:33
90.2,2023-11-18T18:36:33
91.6,2023-11-18T18:38:33
93.9,2023-11-18T18:39:33
95.9,2023-11-18T18:40:33
95.4,2023-11-18T18:42:33
95.5,2023-11-18T18:43:33
95.8,2023-11-18T18:44:33
95.9,2023-11-18T18:45:33
96.1,2023-11-18T18:46:33
96.3,2023-11-18T18:47:33
96.2,2023-11-18T18:48:33
96.5,2023-11-18T18:49:33
96.6,2023-11-18T18:50:33
96.9,2023-11-18T18:51:33
97.2,2023-11-18T18:52:33
96.9,2023-11-18T18:54:33
97.0,2023-11-18T18:55:33
97.0,2023-11-18T18:56:33
97.1,2023-11-18T18:57:33
96.9,2023-11-18T18:58:33
97.0,2023-11-18T18:59:33
96.5,2023-11-18T19:00:33
96.1,2023-11-18T19:01:33
96.2,2023-11-18T19:02:33
